"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 16:48:41 GMT 2023","Sun Jul 23 16:48:43 GMT 2023","2135","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 16:48:43 GMT 2023","Sun Jul 23 16:48:45 GMT 2023","2136","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 16:48:32 GMT 2023","Sun Jul 23 16:48:35 GMT 2023","3236","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 16:48:49 GMT 2023","Sun Jul 23 16:48:51 GMT 2023","2150","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"failed","Sun Jul 23 16:48:59 GMT 2023","Sun Jul 23 16:49:02 GMT 2023","3539","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 16:48:24 GMT 2023","Sun Jul 23 16:48:32 GMT 2023","8402","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Sun Jul 23 16:48:47 GMT 2023","Sun Jul 23 16:48:49 GMT 2023","2102","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 16:48:35 GMT 2023","Sun Jul 23 16:48:39 GMT 2023","3195","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Sun Jul 23 16:48:39 GMT 2023","Sun Jul 23 16:48:41 GMT 2023","2130","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 16:48:45 GMT 2023","Sun Jul 23 16:48:47 GMT 2023","2126","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
