"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 12:42:57 GMT 2023","Sun Jul 23 12:43:11 GMT 2023","14026","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Sun Jul 23 12:43:18 GMT 2023","Sun Jul 23 12:43:20 GMT 2023","2052","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 12:43:28 GMT 2023","Sun Jul 23 12:43:30 GMT 2023","2088","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 12:43:26 GMT 2023","Sun Jul 23 12:43:28 GMT 2023","2073","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 12:43:22 GMT 2023","Sun Jul 23 12:43:24 GMT 2023","2057","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 12:43:24 GMT 2023","Sun Jul 23 12:43:26 GMT 2023","2057","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"failed","Sun Jul 23 12:43:37 GMT 2023","Sun Jul 23 12:43:41 GMT 2023","3489","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 12:43:15 GMT 2023","Sun Jul 23 12:43:18 GMT 2023","3183","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Sun Jul 23 12:43:20 GMT 2023","Sun Jul 23 12:43:22 GMT 2023","2072","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 12:43:11 GMT 2023","Sun Jul 23 12:43:15 GMT 2023","3269","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
