"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 13:56:42 GMT 2023","Sun Jul 23 13:56:45 GMT 2023","3539","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Sun Jul 23 13:56:38 GMT 2023","Sun Jul 23 13:56:42 GMT 2023","3578","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 13:56:55 GMT 2023","Sun Jul 23 13:56:58 GMT 2023","2535","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 13:56:29 GMT 2023","Sun Jul 23 13:56:38 GMT 2023","9148","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Sun Jul 23 13:56:58 GMT 2023","Sun Jul 23 13:57:00 GMT 2023","2447","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 13:56:53 GMT 2023","Sun Jul 23 13:56:55 GMT 2023","2422","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Sun Jul 23 13:56:50 GMT 2023","Sun Jul 23 13:56:53 GMT 2023","2448","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 13:56:45 GMT 2023","Sun Jul 23 13:56:48 GMT 2023","2459","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 13:56:48 GMT 2023","Sun Jul 23 13:56:50 GMT 2023","2419","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"failed","Sun Jul 23 13:57:08 GMT 2023","Sun Jul 23 13:57:12 GMT 2023","3918","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
