"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 13:29:22 GMT 2023","Sun Jul 23 13:29:24 GMT 2023","2183","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 13:29:10 GMT 2023","Sun Jul 23 13:29:13 GMT 2023","3220","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Sun Jul 23 13:28:59 GMT 2023","Sun Jul 23 13:29:07 GMT 2023","7705","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"failed","Sun Jul 23 13:29:34 GMT 2023","Sun Jul 23 13:29:38 GMT 2023","3626","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 13:29:20 GMT 2023","Sun Jul 23 13:29:22 GMT 2023","2152","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Sun Jul 23 13:29:13 GMT 2023","Sun Jul 23 13:29:16 GMT 2023","2206","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 13:29:24 GMT 2023","Sun Jul 23 13:29:26 GMT 2023","2162","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 13:29:07 GMT 2023","Sun Jul 23 13:29:10 GMT 2023","3287","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 13:29:18 GMT 2023","Sun Jul 23 13:29:20 GMT 2023","2247","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 13:29:16 GMT 2023","Sun Jul 23 13:29:18 GMT 2023","2221","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
