"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 14:41:41 GMT 2023","Sun Jul 23 14:41:44 GMT 2023","3664","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 14:42:01 GMT 2023","Sun Jul 23 14:42:03 GMT 2023","2491","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 14:41:48 GMT 2023","Sun Jul 23 14:41:50 GMT 2023","2585","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 14:41:53 GMT 2023","Sun Jul 23 14:41:55 GMT 2023","2561","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 14:41:50 GMT 2023","Sun Jul 23 14:41:53 GMT 2023","2479","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 14:41:31 GMT 2023","Sun Jul 23 14:41:40 GMT 2023","8950","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"failed","Sun Jul 23 14:42:11 GMT 2023","Sun Jul 23 14:42:15 GMT 2023","3975","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 14:41:55 GMT 2023","Sun Jul 23 14:41:58 GMT 2023","2521","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Sun Jul 23 14:41:58 GMT 2023","Sun Jul 23 14:42:00 GMT 2023","2513","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 14:41:44 GMT 2023","Sun Jul 23 14:41:48 GMT 2023","3545","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
