"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 12:37:01 GMT 2023","Sun Jul 23 12:37:03 GMT 2023","2156","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 12:37:03 GMT 2023","Sun Jul 23 12:37:05 GMT 2023","2116","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 12:36:52 GMT 2023","Sun Jul 23 12:36:55 GMT 2023","3338","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 12:36:55 GMT 2023","Sun Jul 23 12:36:59 GMT 2023","3183","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Sun Jul 23 12:36:59 GMT 2023","Sun Jul 23 12:37:01 GMT 2023","2225","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"failed","Sun Jul 23 12:37:19 GMT 2023","Sun Jul 23 12:37:23 GMT 2023","3596","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 12:37:09 GMT 2023","Sun Jul 23 12:37:12 GMT 2023","2123","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 12:36:44 GMT 2023","Sun Jul 23 12:36:52 GMT 2023","7724","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Sun Jul 23 12:37:07 GMT 2023","Sun Jul 23 12:37:09 GMT 2023","2102","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 12:37:05 GMT 2023","Sun Jul 23 12:37:07 GMT 2023","2147","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
