"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 12:56:50 GMT 2023","Sun Jul 23 12:56:53 GMT 2023","3514","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 12:56:59 GMT 2023","Sun Jul 23 12:57:01 GMT 2023","2367","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 12:57:06 GMT 2023","Sun Jul 23 12:57:08 GMT 2023","2318","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 12:56:33 GMT 2023","Sun Jul 23 12:56:49 GMT 2023","16726","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Sun Jul 23 12:57:01 GMT 2023","Sun Jul 23 12:57:04 GMT 2023","2339","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 12:57:08 GMT 2023","Sun Jul 23 12:57:11 GMT 2023","2267","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"failed","Sun Jul 23 12:57:18 GMT 2023","Sun Jul 23 12:57:22 GMT 2023","3792","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 12:57:04 GMT 2023","Sun Jul 23 12:57:06 GMT 2023","2315","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Sun Jul 23 12:56:57 GMT 2023","Sun Jul 23 12:56:59 GMT 2023","2353","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 12:56:53 GMT 2023","Sun Jul 23 12:56:57 GMT 2023","3427","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
