"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 10:42:28 GMT 2023","Mon Jul 24 10:42:31 GMT 2023","3350","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Mon Jul 24 10:42:42 GMT 2023","Mon Jul 24 10:42:45 GMT 2023","2225","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Mon Jul 24 10:42:38 GMT 2023","Mon Jul 24 10:42:40 GMT 2023","2269","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Mon Jul 24 10:42:40 GMT 2023","Mon Jul 24 10:42:42 GMT 2023","2269","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Mon Jul 24 10:42:11 GMT 2023","Mon Jul 24 10:42:24 GMT 2023","12825","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Mon Jul 24 10:42:24 GMT 2023","Mon Jul 24 10:42:27 GMT 2023","3437","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Mon Jul 24 10:42:33 GMT 2023","Mon Jul 24 10:42:35 GMT 2023","2352","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Mon Jul 24 10:42:35 GMT 2023","Mon Jul 24 10:42:38 GMT 2023","2266","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Mon Jul 24 10:42:31 GMT 2023","Mon Jul 24 10:42:33 GMT 2023","2270","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"failed","Mon Jul 24 10:42:52 GMT 2023","Mon Jul 24 10:42:56 GMT 2023","3671","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
