"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 15:54:19 GMT 2023","Sun Jul 23 15:54:22 GMT 2023","3130","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"passed","Sun Jul 23 15:54:31 GMT 2023","Sun Jul 23 15:54:33 GMT 2023","2026","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"failed","Sun Jul 23 15:54:42 GMT 2023","Sun Jul 23 15:54:46 GMT 2023","3473","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 15:54:29 GMT 2023","Sun Jul 23 15:54:31 GMT 2023","2054","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Sun Jul 23 15:54:33 GMT 2023","Sun Jul 23 15:54:35 GMT 2023","2030","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 15:54:22 GMT 2023","Sun Jul 23 15:54:24 GMT 2023","2072","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 15:54:16 GMT 2023","Sun Jul 23 15:54:19 GMT 2023","3218","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 15:54:27 GMT 2023","Sun Jul 23 15:54:29 GMT 2023","2132","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"passed","Sun Jul 23 15:54:24 GMT 2023","Sun Jul 23 15:54:27 GMT 2023","2047","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 15:54:09 GMT 2023","Sun Jul 23 15:54:16 GMT 2023","7024","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
