"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 17:39:28 GMT 2023","Sun Jul 23 17:39:30 GMT 2023","2305","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [5] angular, te, username",""
"passed","Sun Jul 23 17:39:18 GMT 2023","Sun Jul 23 17:39:22 GMT 2023","3429","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [2] test, password, username",""
"passed","Sun Jul 23 17:39:32 GMT 2023","Sun Jul 23 17:39:35 GMT 2023","2408","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Sun Jul 23 17:39:37 GMT 2023","Sun Jul 23 17:39:39 GMT 2023","2377","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [9] angular, password, ",""
"passed","Sun Jul 23 17:39:01 GMT 2023","Sun Jul 23 17:39:18 GMT 2023","16904","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [1] angular, password, username",""
"passed","Sun Jul 23 17:39:22 GMT 2023","Sun Jul 23 17:39:25 GMT 2023","3434","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [3] angular, test, username",""
"failed","Sun Jul 23 17:39:47 GMT 2023","Sun Jul 23 17:39:51 GMT 2023","3793","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Sun Jul 23 17:39:35 GMT 2023","Sun Jul 23 17:39:37 GMT 2023","2375","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [8] angular, , username",""
"passed","Sun Jul 23 17:39:25 GMT 2023","Sun Jul 23 17:39:28 GMT 2023","2356","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [4] te, password, username",""
"passed","Sun Jul 23 17:39:30 GMT 2023","Sun Jul 23 17:39:32 GMT 2023","2344","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
